"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000017861"	231.950917124196	0.867563351975296	0.219170080203806	3.95840231097489	7.54527895021586e-05	0.00912150962088456
"ENSMUSG00000024743"	276.634532097913	-1.32422761108969	0.334695746759911	-3.95651161961018	7.60521906900224e-05	0.00912150962088456
"ENSMUSG00000025950"	3598.0341966991	0.813346092097047	0.205885008415856	3.95048720815172	7.79922664696042e-05	0.0091758199401579
"ENSMUSG00000028755"	191.573608633048	-1.31589032866153	0.333205518356792	-3.94918528105675	7.84176378418914e-05	0.0091758199401579
"ENSMUSG00000038412"	447.467997323141	-1.15992177068817	0.29394788662392	-3.94601160093449	7.94637652438406e-05	0.00918620274114037
"ENSMUSG00000032324"	625.886035323815	-1.13846327423495	0.288886246073	-3.94087046271932	8.11864618594563e-05	0.00927362025644623
"ENSMUSG00000020097"	523.530866500099	-0.761341245846269	0.193400743016513	-3.93659938411542	8.26444025516564e-05	0.00932423191534375
"ENSMUSG00000028943"	439.397521853243	-1.07457241570262	0.273155933690415	-3.93391569857128	8.35731052339305e-05	0.00932423191534375
"ENSMUSG00000043535"	467.264969031583	0.923052543420286	0.235661432665	3.91685874511522	8.97102776262582e-05	0.00987968165117175
"ENSMUSG00000032727"	520.468656412202	0.871451883043027	0.222624414257953	3.91444885300532	9.06109416678597e-05	0.00987968165117175
"ENSMUSG00000035699"	97.929555551838	-1.83347723689493	0.469239651818332	-3.9073365385685	9.33191327817009e-05	0.0100606413375328
"ENSMUSG00000036123"	422.226717195692	-1.08452679980158	0.279354682715694	-3.88225745585702	0.000103491221167383	0.0108173099271272
"ENSMUSG00000034361"	450.058407341346	0.94816890754866	0.244248403919542	3.88198609421005	0.000103606803331343	0.0108173099271272
"ENSMUSG00000037321"	75.9041958509122	-1.53517366065363	0.395487910963524	-3.88172082659493	0.000103719907586837	0.0108173099271272
"ENSMUSG00000013415"	10.6267878355153	3.53253551305103	0.910555850933422	3.87953743796142	0.000104655293191609	NA
"ENSMUSG00000019916"	77.8836088951073	-1.34469379933976	0.346687736260128	-3.87868868349818	0.000105021052400063	0.0108352365352538
"ENSMUSG00000057596"	117.564442981864	-1.21570013300091	0.314806097086235	-3.86174265445658	0.00011258111934867	0.0114916578739414
"ENSMUSG00000052512"	217.587080074848	1.46425968778782	0.379707998747683	3.85627822594495	0.000115126448476839	0.0116277712961608
"ENSMUSG00000034947"	136.954142570642	-0.98479965445618	0.256125576116471	-3.84498756191514	0.000120558553482047	0.0119881465714857
